Cipher,Mode,CPU,Length,Speed
AEGIS-128L,AEAD,AMD EPYC 9334,64,16.01444444
AEGIS-128L,AEAD,AMD EPYC 9334,256,48.61444444
AEGIS-128L,AEAD,AMD EPYC 9334,1024,96.56625
AEGIS-128L,AEAD,AMD EPYC 9334,2048,115.5144444
AEGIS-128L,AEAD,AMD EPYC 9334,4096,127.8466667
AEGIS-128L,AEAD,AMD EPYC 9334,8192,135.2766667
AEGIS-128L,AEAD,AMD EPYC 9334,16384,138.9433333
AEGIS-128L,Encryption Only,AMD EPYC 9334,64,20.95
AEGIS-128L,Encryption Only,AMD EPYC 9334,256,53.88
AEGIS-128L,Encryption Only,AMD EPYC 9334,1024,112.39
AEGIS-128L,Encryption Only,AMD EPYC 9334,2048,124.06
AEGIS-128L,Encryption Only,AMD EPYC 9334,4096,134.31
AEGIS-128L,Encryption Only,AMD EPYC 9334,8192,138.16
AEGIS-128L,Encryption Only,AMD EPYC 9334,16384,139.6
AES-256-CTR,Encryption Only,AMD EPYC 9334,64,22.57
AES-256-CTR,Encryption Only,AMD EPYC 9334,256,46.37
AES-256-CTR,Encryption Only,AMD EPYC 9334,1024,62
AES-256-CTR,Encryption Only,AMD EPYC 9334,2048,66.04
AES-256-CTR,Encryption Only,AMD EPYC 9334,4096,68.24
AES-256-CTR,Encryption Only,AMD EPYC 9334,8192,69.96
AES-256-CTR,Encryption Only,AMD EPYC 9334,16384,70.35
AES-256-GCM,AEAD,AMD EPYC 9334,64,13.5266664
AES-256-GCM,AEAD,AMD EPYC 9334,256,25.8606244
AES-256-GCM,AEAD,AMD EPYC 9334,1024,33.4907936
AES-256-GCM,AEAD,AMD EPYC 9334,2048,35.6056048
AES-256-GCM,AEAD,AMD EPYC 9334,4096,36.9299024
AES-256-GCM,AEAD,AMD EPYC 9334,8192,37.8827624
AES-256-GCM,AEAD,AMD EPYC 9334,16384,38.41
HiAE,AEAD,AMD EPYC 9334,64,8.976666667
HiAE,AEAD,AMD EPYC 9334,256,44.38
HiAE,AEAD,AMD EPYC 9334,1024,116.4977778
HiAE,AEAD,AMD EPYC 9334,2048,166.4066667
HiAE,AEAD,AMD EPYC 9334,4096,201.1166667
HiAE,AEAD,AMD EPYC 9334,8192,230.2066667
HiAE,AEAD,AMD EPYC 9334,16384,252.1722222
HiAE,Encryption Only,AMD EPYC 9334,64,17.29
HiAE,Encryption Only,AMD EPYC 9334,256,104.4
HiAE,Encryption Only,AMD EPYC 9334,1024,198.89
HiAE,Encryption Only,AMD EPYC 9334,2048,236.49
HiAE,Encryption Only,AMD EPYC 9334,4096,248.15
HiAE,Encryption Only,AMD EPYC 9334,8192,261
HiAE,Encryption Only,AMD EPYC 9334,16384,262.91
Rocca,AEAD,AMD EPYC 9334,64,8.882222222
Rocca,AEAD,AMD EPYC 9334,256,31.26875
Rocca,AEAD,AMD EPYC 9334,1024,85.79444444
Rocca,AEAD,AMD EPYC 9334,2048,120.3188889
Rocca,AEAD,AMD EPYC 9334,4096,150.9133333
Rocca,AEAD,AMD EPYC 9334,8192,172.6466667
Rocca,AEAD,AMD EPYC 9334,16384,185.8311111
Rocca,Encryption Only,AMD EPYC 9334,64,14.58
Rocca,Encryption Only,AMD EPYC 9334,256,41.37
Rocca,Encryption Only,AMD EPYC 9334,1024,90.12
Rocca,Encryption Only,AMD EPYC 9334,2048,121
Rocca,Encryption Only,AMD EPYC 9334,4096,173.97
Rocca,Encryption Only,AMD EPYC 9334,8192,186.87
Rocca,Encryption Only,AMD EPYC 9334,16384,192.25
Rocca-S,AEAD,AMD EPYC 9334,64,8.037777778
Rocca-S,AEAD,AMD EPYC 9334,256,27.84444444
Rocca-S,AEAD,AMD EPYC 9334,1024,73.96222222
Rocca-S,AEAD,AMD EPYC 9334,2048,103.4122222
Rocca-S,AEAD,AMD EPYC 9334,4096,127.8977778
Rocca-S,AEAD,AMD EPYC 9334,8192,145.6911111
Rocca-S,AEAD,AMD EPYC 9334,16384,156.8966667
Rocca-S,Encryption Only,AMD EPYC 9334,64,13.6
Rocca-S,Encryption Only,AMD EPYC 9334,256,38.15
Rocca-S,Encryption Only,AMD EPYC 9334,1024,83.14
Rocca-S,Encryption Only,AMD EPYC 9334,2048,128.72
Rocca-S,Encryption Only,AMD EPYC 9334,4096,145.68
Rocca-S,Encryption Only,AMD EPYC 9334,8192,155.47
Rocca-S,Encryption Only,AMD EPYC 9334,16384,162.45
SNOW-V,Encryption Only,AMD EPYC 9334,64,2.8
SNOW-V,Encryption Only,AMD EPYC 9334,256,11.55
SNOW-V,Encryption Only,AMD EPYC 9334,1024,23.2
SNOW-V,Encryption Only,AMD EPYC 9334,2048,27.82
SNOW-V,Encryption Only,AMD EPYC 9334,4096,30.88
SNOW-V,Encryption Only,AMD EPYC 9334,8192,32.7
SNOW-V,Encryption Only,AMD EPYC 9334,16384,33.67
SNOW-V-GCM,AEAD,AMD EPYC 9334,64,7.166666667
SNOW-V-GCM,AEAD,AMD EPYC 9334,256,11.655
SNOW-V-GCM,AEAD,AMD EPYC 9334,1024,13.815
SNOW-V-GCM,AEAD,AMD EPYC 9334,2048,14.26
SNOW-V-GCM,AEAD,AMD EPYC 9334,4096,14.49
SNOW-V-GCM,AEAD,AMD EPYC 9334,8192,14.61
SNOW-V-GCM,AEAD,AMD EPYC 9334,16384,14.67
AEGIS-128L,AEAD,AMD Ryzen 9 7950X,64,22.01
AEGIS-128L,AEAD,AMD Ryzen 9 7950X,256,66.90444444
AEGIS-128L,AEAD,AMD Ryzen 9 7950X,1024,133.0777778
AEGIS-128L,AEAD,AMD Ryzen 9 7950X,2048,158.8555556
AEGIS-128L,AEAD,AMD Ryzen 9 7950X,4096,175.7022222
